ward,precinct,registered,polling,absentee,provisional,house,total
01,01,1002,45,14,0,0,59
01,02,1119,48,15,0,0,63
01,03,1264,25,21,0,0,46
01,04,920,45,9,0,0,54
01,05,1087,49,17,0,0,66
01,06,1263,66,10,0,0,76
01,07,130,11,3,0,0,14
02,01,288,25,4,0,0,29
02,02,294,15,3,0,0,18
02,03,1137,104,7,0,0,111
02,04,753,70,6,0,0,76
02,05,1092,230,36,0,0,266
02,06,14,1,0,0,0,1
02,07,1063,195,36,0,0,231
02,08,1356,161,10,0,0,171
03,01,287,8,2,0,0,10
03,02,929,44,10,0,0,54
03,03,673,24,8,0,0,32
03,04,873,19,3,0,0,22
03,05,673,17,8,0,0,25
03,06,793,29,8,0,0,37
03,07,992,34,3,0,0,37
03,08,606,15,8,0,0,23
03,09,493,11,17,0,0,28
04,01,713,88,31,0,0,119
04,02,1673,148,21,0,0,169
04,03,633,65,7,0,0,72
04,04,984,95,9,0,0,104
04,05,781,80,11,0,0,91
04,06,560,66,3,0,0,69
04,07,807,87,17,0,0,104
04,08,182,12,2,0,0,14
04,09,149,7,1,0,0,8
04,10,244,14,4,0,0,18
05,01,531,12,19,0,0,31
05,02,572,20,2,0,0,22
05,03,815,36,28,0,0,64
05,04,497,5,3,0,0,8
05,05,738,20,4,0,0,24
05,06,988,24,12,0,0,36
05,07,913,20,5,0,0,25
05,08,430,11,10,0,0,21
06,01,819,40,6,0,0,46
06,02,753,71,3,0,0,74
06,03,962,65,3,0,0,68
06,04,1006,92,7,0,0,99
06,05,411,66,13,0,0,79
06,06,851,26,8,0,0,34
06,07,1275,93,12,0,0,105
06,08,982,23,19,0,0,42
06,09,134,8,1,0,0,9
07,01,631,114,5,0,0,119
07,02,585,98,3,0,0,101
07,03,546,130,5,0,0,135
07,04,1366,112,8,0,0,120
07,05,1483,200,28,0,0,228
07,06,1746,334,27,0,0,361
08,01,940,179,8,0,0,187
08,02,748,84,6,0,0,90
08,03,589,112,4,0,0,116
08,04,1345,332,14,0,0,346
08,05,1394,340,16,0,0,356
08,06,83,5,0,0,0,5
08,07,477,77,11,0,0,88
08,08,819,235,24,0,0,259
08,09,867,159,8,0,0,167
09,01,1027,44,6,0,0,50
09,02,1310,41,14,0,0,55
09,03,787,37,2,0,0,39
09,04,567,26,2,0,0,28
09,05,670,37,1,0,0,38
09,06,868,25,7,0,0,32
09,07,68,0,2,0,0,2
09,08,362,16,0,0,0,16
09,09,299,15,2,0,0,17
10,01,1140,43,11,0,0,54
10,02,1013,77,6,0,0,83
10,03,904,63,3,0,0,66
10,04,1075,41,7,0,0,48
10,05,1026,35,1,0,0,36
10,06,173,20,2,0,0,22
10,07,1019,33,4,0,0,37
10,09,39,3,0,0,0,3
10,10,146,10,0,0,0,10
11,01,747,18,3,0,0,21
11,02,1041,69,2,0,0,71
11,03,786,13,10,0,0,23
11,04,1168,42,13,0,0,55
11,05,1135,31,11,0,0,42
11,06,993,51,3,0,0,54
12,01,704,91,4,0,0,95
12,02,1456,217,27,0,0,244
12,03,729,112,2,0,0,114
12,04,1292,215,20,0,0,235
12,05,1479,111,14,0,0,125
12,06,1567,156,29,0,0,185
12,08,82,4,0,0,0,4
12,09,51,7,0,0,0,7
13,01,1490,75,22,0,0,97
13,02,1386,70,10,0,0,80
13,03,1084,26,10,0,0,36
13,04,1221,65,4,0,0,69
13,06,1135,40,8,0,0,48
13,07,60,1,1,0,0,2
14,01,864,38,8,0,0,46
14,02,806,26,8,0,0,34
14,03,913,103,14,0,0,117
14,04,1231,64,6,0,0,70
14,05,561,22,3,0,0,25
14,06,1005,32,3,0,0,35
14,07,87,2,2,0,0,4
14,08,53,7,0,0,0,7
14,09,363,14,6,0,0,20
15,01,1088,252,10,0,0,262
15,02,1374,381,8,0,0,389
15,03,1543,314,18,0,0,332
15,04,857,81,7,0,0,88
15,05,1155,198,12,0,0,210
15,06,646,66,4,0,0,70
15,07,4,0,0,0,0,0
16,01,1046,69,14,0,0,83
16,02,1147,78,24,0,0,102
16,03,1129,70,8,0,0,78
16,04,1186,102,10,0,0,112
16,05,1102,41,10,0,0,51
16,06,957,96,7,0,0,103
16,07,958,62,11,0,0,73
16,08,449,29,3,0,0,32
17,01,586,29,2,0,0,31
17,02,436,18,1,0,0,19
17,03,69,0,2,0,0,2
17,04,1121,37,21,0,0,58
17,05,1644,87,14,0,0,101
17,06,1181,39,6,0,0,45
17,07,29,0,0,0,0,0
17,08,948,58,4,0,0,62
18,01,1300,67,35,0,0,102
18,02,947,57,10,0,0,67
18,03,208,7,0,0,0,7
18,04,994,55,7,0,0,62
18,05,928,56,17,0,0,73
18,06,947,45,11,0,0,56
19,01,1036,39,5,0,0,44
19,02,57,2,0,0,0,2
19,03,288,52,3,0,0,55
19,04,662,55,2,0,0,57
19,05,1330,22,11,0,0,33
19,06,781,38,19,0,0,57
19,07,157,3,6,0,0,9
19,08,630,23,17,0,0,40
19,09,530,14,9,0,0,23
20,01,1107,95,6,0,0,101
20,02,596,97,6,0,0,103
20,03,1216,161,11,0,0,172
20,04,678,102,8,0,0,110
20,05,1128,198,15,0,0,213
20,06,252,22,2,0,0,24
20,07,319,30,14,0,0,44
21,01,638,35,10,0,0,45
21,02,923,36,8,0,0,44
21,03,872,33,10,0,0,43
21,04,950,64,13,0,0,77
21,05,819,29,7,0,0,36
21,06,904,47,16,0,0,63
21,07,565,21,6,0,0,27
21,08,751,43,11,0,0,54
21,09,905,28,12,0,0,40
22,01,511,30,4,0,0,34
22,02,1162,70,23,0,0,93
22,03,1172,90,20,0,0,110
22,04,813,60,34,0,0,94
22,05,745,38,13,0,0,51
22,06,1169,102,14,0,0,116
22,07,518,36,4,0,0,40
22,08,190,9,5,0,0,14
23,01,1450,76,7,0,0,83
23,02,1117,51,13,0,0,64
23,03,749,37,2,0,0,39
23,04,1076,55,5,0,0,60
23,05,873,45,5,0,0,50
23,06,853,40,7,0,0,47
23,07,837,35,10,0,0,45
23,08,841,32,2,0,0,34
23,09,256,11,2,0,0,13
24,01,980,196,8,0,0,204
24,02,706,153,7,0,0,160
24,03,833,79,6,0,0,85
24,04,1064,159,10,0,0,169
24,05,1095,93,8,0,0,101
24,06,1078,177,4,0,0,181
24,07,992,140,8,0,0,148
24,08,323,45,3,0,0,48
25,01,1261,42,11,0,0,53
25,02,1402,47,11,0,0,58
25,03,739,15,4,0,0,19
25,04,1397,48,7,0,0,55
25,05,552,16,3,0,0,19
25,06,27,0,0,0,0,0
26,01,776,102,20,0,0,122
26,02,667,72,21,0,0,93
26,03,1695,197,20,0,0,217
26,04,1228,214,52,0,0,266
26,05,1042,149,8,0,0,157
26,06,990,132,44,0,0,176
27,01,1186,62,16,0,0,78
27,02,839,39,4,0,0,43
27,03,1087,27,6,0,0,33
27,04,957,26,9,0,0,35
27,05,689,13,13,0,0,26
27,06,1227,34,12,0,0,46
27,07,1099,72,18,0,0,90
27,08,695,48,9,0,0,57
28,01,590,113,7,0,0,120
