ward,precinct,race,type,candidate,votes
01,01,PRES OF BOA DEM,Polling,LEWIS REED,39
01,01,PRES OF BOA DEM,Polling,JIMMIE MATTHEWS,6
01,01,PRES OF BOA DEM,ABSENTEE,LEWIS REED,14
01,01,PRES OF BOA DEM,ABSENTEE,JIMMIE MATTHEWS,0
01,01,PRES OF BOA DEM,PROVISIONAL,LEWIS REED,0
01,01,PRES OF BOA DEM,PROVISIONAL,JIMMIE MATTHEWS,0
01,01,PRES OF BOA DEM,HOUSE VOTES,LEWIS REED,0
01,01,PRES OF BOA DEM,HOUSE VOTES,JIMMIE MATTHEWS,0
01,01,PRES OF BOA DEM,Total,LEWIS REED,53
01,01,PRES OF BOA DEM,Total,JIMMIE MATTHEWS,6
01,02,PRES OF BOA DEM,Polling,LEWIS REED,44
01,02,PRES OF BOA DEM,Polling,JIMMIE MATTHEWS,2
01,02,PRES OF BOA DEM,ABSENTEE,LEWIS REED,13
01,02,PRES OF BOA DEM,ABSENTEE,JIMMIE MATTHEWS,2
01,02,PRES OF BOA DEM,PROVISIONAL,LEWIS REED,0
01,02,PRES OF BOA DEM,PROVISIONAL,JIMMIE MATTHEWS,0
01,02,PRES OF BOA DEM,HOUSE VOTES,LEWIS REED,0
01,02,PRES OF BOA DEM,HOUSE VOTES,JIMMIE MATTHEWS,0
01,02,PRES OF BOA DEM,Total,LEWIS REED,57
01,02,PRES OF BOA DEM,Total,JIMMIE MATTHEWS,4
01,03,PRES OF BOA DEM,Polling,LEWIS REED,23
01,03,PRES OF BOA DEM,Polling,JIMMIE MATTHEWS,2
01,03,PRES OF BOA DEM,ABSENTEE,LEWIS REED,17
01,03,PRES OF BOA DEM,ABSENTEE,JIMMIE MATTHEWS,4
01,03,PRES OF BOA DEM,PROVISIONAL,LEWIS REED,0
01,03,PRES OF BOA DEM,PROVISIONAL,JIMMIE MATTHEWS,0
01,03,PRES OF BOA DEM,HOUSE VOTES,LEWIS REED,0
01,03,PRES OF BOA DEM,HOUSE VOTES,JIMMIE MATTHEWS,0
01,03,PRES OF BOA DEM,Total,LEWIS REED,40
01,03,PRES OF BOA DEM,Total,JIMMIE MATTHEWS,6
01,04,PRES OF BOA DEM,Polling,LEWIS REED,38
01,04,PRES OF BOA DEM,Polling,JIMMIE MATTHEWS,7
01,04,PRES OF BOA DEM,ABSENTEE,LEWIS REED,9
01,04,PRES OF BOA DEM,ABSENTEE,JIMMIE MATTHEWS,0
01,04,PRES OF BOA DEM,PROVISIONAL,LEWIS REED,0
01,04,PRES OF BOA DEM,PROVISIONAL,JIMMIE MATTHEWS,0
01,04,PRES OF BOA DEM,HOUSE VOTES,LEWIS REED,0
01,04,PRES OF BOA DEM,HOUSE VOTES,JIMMIE MATTHEWS,0
01,04,PRES OF BOA DEM,Total,LEWIS REED,47
01,04,PRES OF BOA DEM,Total,JIMMIE MATTHEWS,7
01,05,PRES OF BOA DEM,Polling,LEWIS REED,42
01,05,PRES OF BOA DEM,Polling,JIMMIE MATTHEWS,6
01,05,PRES OF BOA DEM,ABSENTEE,LEWIS REED,12
01,05,PRES OF BOA DEM,ABSENTEE,JIMMIE MATTHEWS,5
01,05,PRES OF BOA DEM,PROVISIONAL,LEWIS REED,0
01,05,PRES OF BOA DEM,PROVISIONAL,JIMMIE MATTHEWS,0
01,05,PRES OF BOA DEM,HOUSE VOTES,LEWIS REED,0
01,05,PRES OF BOA DEM,HOUSE VOTES,JIMMIE MATTHEWS,0
01,05,PRES OF BOA DEM,Total,LEWIS REED,54
01,05,PRES OF BOA DEM,Total,JIMMIE MATTHEWS,11
