date,ward,precinct,race,type,candidate,votes
2015-03-03,01,01,PRES OF BOA DEM,Polling,LEWIS REED,39
2015-03-03,01,01,PRES OF BOA DEM,Polling,JIMMIE MATTHEWS,6
2015-03-03,01,01,PRES OF BOA DEM,ABSENTEE,LEWIS REED,14
2015-03-03,01,01,PRES OF BOA DEM,ABSENTEE,JIMMIE MATTHEWS,0
2015-03-03,01,01,PRES OF BOA DEM,PROVISIONAL,LEWIS REED,0
2015-03-03,01,01,PRES OF BOA DEM,PROVISIONAL,JIMMIE MATTHEWS,0
2015-03-03,01,01,PRES OF BOA DEM,HOUSE VOTES,LEWIS REED,0
2015-03-03,01,01,PRES OF BOA DEM,HOUSE VOTES,JIMMIE MATTHEWS,0
2015-03-03,01,01,PRES OF BOA DEM,Total,LEWIS REED,53
2015-03-03,01,01,PRES OF BOA DEM,Total,JIMMIE MATTHEWS,6
2015-03-03,01,02,PRES OF BOA DEM,Polling,LEWIS REED,44
2015-03-03,01,02,PRES OF BOA DEM,Polling,JIMMIE MATTHEWS,2
2015-03-03,01,02,PRES OF BOA DEM,ABSENTEE,LEWIS REED,13
2015-03-03,01,02,PRES OF BOA DEM,ABSENTEE,JIMMIE MATTHEWS,2
2015-03-03,01,02,PRES OF BOA DEM,PROVISIONAL,LEWIS REED,0
2015-03-03,01,02,PRES OF BOA DEM,PROVISIONAL,JIMMIE MATTHEWS,0
2015-03-03,01,02,PRES OF BOA DEM,HOUSE VOTES,LEWIS REED,0
2015-03-03,01,02,PRES OF BOA DEM,HOUSE VOTES,JIMMIE MATTHEWS,0
2015-03-03,01,02,PRES OF BOA DEM,Total,LEWIS REED,57
2015-03-03,01,02,PRES OF BOA DEM,Total,JIMMIE MATTHEWS,4
2015-03-03,01,03,PRES OF BOA DEM,Polling,LEWIS REED,23
2015-03-03,01,03,PRES OF BOA DEM,Polling,JIMMIE MATTHEWS,2
2015-03-03,01,03,PRES OF BOA DEM,ABSENTEE,LEWIS REED,17
2015-03-03,01,03,PRES OF BOA DEM,ABSENTEE,JIMMIE MATTHEWS,4
2015-03-03,01,03,PRES OF BOA DEM,PROVISIONAL,LEWIS REED,0
2015-03-03,01,03,PRES OF BOA DEM,PROVISIONAL,JIMMIE MATTHEWS,0
2015-03-03,01,03,PRES OF BOA DEM,HOUSE VOTES,LEWIS REED,0
2015-03-03,01,03,PRES OF BOA DEM,HOUSE VOTES,JIMMIE MATTHEWS,0
2015-03-03,01,03,PRES OF BOA DEM,Total,LEWIS REED,40
2015-03-03,01,03,PRES OF BOA DEM,Total,JIMMIE MATTHEWS,6
2015-03-03,01,04,PRES OF BOA DEM,Polling,LEWIS REED,38
2015-03-03,01,04,PRES OF BOA DEM,Polling,JIMMIE MATTHEWS,7
2015-03-03,01,04,PRES OF BOA DEM,ABSENTEE,LEWIS REED,9
2015-03-03,01,04,PRES OF BOA DEM,ABSENTEE,JIMMIE MATTHEWS,0
2015-03-03,01,04,PRES OF BOA DEM,PROVISIONAL,LEWIS REED,0
2015-03-03,01,04,PRES OF BOA DEM,PROVISIONAL,JIMMIE MATTHEWS,0
2015-03-03,01,04,PRES OF BOA DEM,HOUSE VOTES,LEWIS REED,0
2015-03-03,01,04,PRES OF BOA DEM,HOUSE VOTES,JIMMIE MATTHEWS,0
2015-03-03,01,04,PRES OF BOA DEM,Total,LEWIS REED,47
2015-03-03,01,04,PRES OF BOA DEM,Total,JIMMIE MATTHEWS,7
2015-03-03,01,05,PRES OF BOA DEM,Polling,LEWIS REED,42
2015-03-03,01,05,PRES OF BOA DEM,Polling,JIMMIE MATTHEWS,6
2015-03-03,01,05,PRES OF BOA DEM,ABSENTEE,LEWIS REED,12
2015-03-03,01,05,PRES OF BOA DEM,ABSENTEE,JIMMIE MATTHEWS,5
2015-03-03,01,05,PRES OF BOA DEM,PROVISIONAL,LEWIS REED,0
2015-03-03,01,05,PRES OF BOA DEM,PROVISIONAL,JIMMIE MATTHEWS,0
2015-03-03,01,05,PRES OF BOA DEM,HOUSE VOTES,LEWIS REED,0
2015-03-03,01,05,PRES OF BOA DEM,HOUSE VOTES,JIMMIE MATTHEWS,0
2015-03-03,01,05,PRES OF BOA DEM,Total,LEWIS REED,54
2015-03-03,01,05,PRES OF BOA DEM,Total,JIMMIE MATTHEWS,11
