date,ward,precinct,registered,polling,absentee,provisional,house,total
2015-04-07,01,01,1005,81,13,0,0,94
2015-04-07,01,02,1123,88,20,0,0,108
2015-04-07,01,03,1266,58,21,0,0,79
2015-04-07,01,04,921,73,9,0,0,82
2015-04-07,01,05,1081,95,19,0,0,114
2015-04-07,01,06,1261,93,16,0,0,109
2015-04-07,01,07,130,6,1,0,0,7
2015-04-07,02,01,287,11,5,0,0,16
2015-04-07,02,02,291,9,2,0,0,11
2015-04-07,02,03,1143,116,6,0,0,122
2015-04-07,02,04,754,81,6,0,0,87
2015-04-07,02,05,1096,201,26,0,0,227
2015-04-07,02,06,14,11,0,0,0,11
2015-04-07,02,07,1062,193,22,0,0,215
2015-04-07,02,08,1359,165,18,0,0,183
2015-04-07,03,01,288,20,1,0,0,21
2015-04-07,03,02,928,88,8,0,0,96
2015-04-07,03,03,679,34,16,0,0,50
2015-04-07,03,04,874,16,3,0,0,19
2015-04-07,03,05,675,35,7,0,0,42
2015-04-07,03,06,793,64,8,0,0,72
2015-04-07,03,07,989,63,3,0,0,66
2015-04-07,03,08,608,27,9,0,0,36
2015-04-07,03,09,502,30,10,0,0,40
2015-04-07,04,01,709,72,32,0,1,105
2015-04-07,04,02,1682,106,22,0,0,128
2015-04-07,04,03,637,47,5,0,0,52
2015-04-07,04,04,989,102,6,0,0,108
2015-04-07,04,05,786,65,10,0,0,75
2015-04-07,04,06,566,44,7,0,0,51
2015-04-07,04,07,814,80,12,0,1,93
2015-04-07,04,08,183,18,1,0,0,19
2015-04-07,04,09,150,9,2,0,0,11
2015-04-07,04,10,244,12,1,0,0,13
2015-04-07,05,01,536,26,18,0,0,44
2015-04-07,05,02,575,25,2,0,0,27
2015-04-07,05,03,819,58,30,0,0,88
2015-04-07,05,04,498,19,2,0,0,21
2015-04-07,05,05,743,33,3,0,0,36
2015-04-07,05,06,998,66,11,0,0,77
2015-04-07,05,07,916,28,6,0,0,34
2015-04-07,05,08,438,17,10,0,0,27
2015-04-07,06,01,823,102,6,0,0,108
2015-04-07,06,02,749,140,2,0,0,142
2015-04-07,06,03,964,114,3,0,0,117
2015-04-07,06,04,1008,207,11,0,0,218
2015-04-07,06,05,419,90,13,0,0,103
2015-04-07,06,06,860,150,7,0,0,157
2015-04-07,06,07,1274,161,7,0,0,168
2015-04-07,06,08,990,143,9,0,0,152
2015-04-07,06,09,133,12,1,0,0,13
