ward,precinct,race,type,candidate,votes
01,01,PRES OF BOA,Polling,LEWIS REED,78
01,01,PRES OF BOA,Polling,ERIK SHELQUIST,1
01,01,PRES OF BOA,Polling,JEFFREY SCHAEFER,0
01,01,PRES OF BOA,ABSENTEE,LEWIS REED,13
01,01,PRES OF BOA,ABSENTEE,ERIK SHELQUIST,0
01,01,PRES OF BOA,ABSENTEE,JEFFREY SCHAEFER,0
01,01,PRES OF BOA,PROVISIONAL,LEWIS REED,0
01,01,PRES OF BOA,PROVISIONAL,ERIK SHELQUIST,0
01,01,PRES OF BOA,PROVISIONAL,JEFFREY SCHAEFER,0
01,01,PRES OF BOA,HOUSE VOTES,LEWIS REED,0
01,01,PRES OF BOA,HOUSE VOTES,ERIK SHELQUIST,0
01,01,PRES OF BOA,HOUSE VOTES,JEFFREY SCHAEFER,0
01,01,PRES OF BOA,Total,LEWIS REED,91
01,01,PRES OF BOA,Total,ERIK SHELQUIST,1
01,01,PRES OF BOA,Total,JEFFREY SCHAEFER,0
01,02,PRES OF BOA,Polling,LEWIS REED,85
01,02,PRES OF BOA,Polling,ERIK SHELQUIST,1
01,02,PRES OF BOA,Polling,JEFFREY SCHAEFER,2
01,02,PRES OF BOA,ABSENTEE,LEWIS REED,16
01,02,PRES OF BOA,ABSENTEE,ERIK SHELQUIST,1
01,02,PRES OF BOA,ABSENTEE,JEFFREY SCHAEFER,2
01,02,PRES OF BOA,PROVISIONAL,LEWIS REED,0
01,02,PRES OF BOA,PROVISIONAL,ERIK SHELQUIST,0
01,02,PRES OF BOA,PROVISIONAL,JEFFREY SCHAEFER,0
01,02,PRES OF BOA,HOUSE VOTES,LEWIS REED,0
01,02,PRES OF BOA,HOUSE VOTES,ERIK SHELQUIST,0
01,02,PRES OF BOA,HOUSE VOTES,JEFFREY SCHAEFER,0
01,02,PRES OF BOA,Total,LEWIS REED,101
01,02,PRES OF BOA,Total,ERIK SHELQUIST,2
01,02,PRES OF BOA,Total,JEFFREY SCHAEFER,4
01,03,PRES OF BOA,Polling,LEWIS REED,52
01,03,PRES OF BOA,Polling,ERIK SHELQUIST,3
01,03,PRES OF BOA,Polling,JEFFREY SCHAEFER,2
01,03,PRES OF BOA,ABSENTEE,LEWIS REED,21
01,03,PRES OF BOA,ABSENTEE,ERIK SHELQUIST,0
01,03,PRES OF BOA,ABSENTEE,JEFFREY SCHAEFER,0
01,03,PRES OF BOA,PROVISIONAL,LEWIS REED,0
01,03,PRES OF BOA,PROVISIONAL,ERIK SHELQUIST,0
01,03,PRES OF BOA,PROVISIONAL,JEFFREY SCHAEFER,0
01,03,PRES OF BOA,HOUSE VOTES,LEWIS REED,0
