date,ward,precinct,race,type,candidate,votes
2015-04-07,01,01,PRES OF BOA,Polling,LEWIS REED,78
2015-04-07,01,01,PRES OF BOA,Polling,ERIK SHELQUIST,1
2015-04-07,01,01,PRES OF BOA,Polling,JEFFREY SCHAEFER,0
2015-04-07,01,01,PRES OF BOA,ABSENTEE,LEWIS REED,13
2015-04-07,01,01,PRES OF BOA,ABSENTEE,ERIK SHELQUIST,0
2015-04-07,01,01,PRES OF BOA,ABSENTEE,JEFFREY SCHAEFER,0
2015-04-07,01,01,PRES OF BOA,PROVISIONAL,LEWIS REED,0
2015-04-07,01,01,PRES OF BOA,PROVISIONAL,ERIK SHELQUIST,0
2015-04-07,01,01,PRES OF BOA,PROVISIONAL,JEFFREY SCHAEFER,0
2015-04-07,01,01,PRES OF BOA,HOUSE VOTES,LEWIS REED,0
2015-04-07,01,01,PRES OF BOA,HOUSE VOTES,ERIK SHELQUIST,0
2015-04-07,01,01,PRES OF BOA,HOUSE VOTES,JEFFREY SCHAEFER,0
2015-04-07,01,01,PRES OF BOA,Total,LEWIS REED,91
2015-04-07,01,01,PRES OF BOA,Total,ERIK SHELQUIST,1
2015-04-07,01,01,PRES OF BOA,Total,JEFFREY SCHAEFER,0
2015-04-07,01,02,PRES OF BOA,Polling,LEWIS REED,85
2015-04-07,01,02,PRES OF BOA,Polling,ERIK SHELQUIST,1
2015-04-07,01,02,PRES OF BOA,Polling,JEFFREY SCHAEFER,2
2015-04-07,01,02,PRES OF BOA,ABSENTEE,LEWIS REED,16
2015-04-07,01,02,PRES OF BOA,ABSENTEE,ERIK SHELQUIST,1
2015-04-07,01,02,PRES OF BOA,ABSENTEE,JEFFREY SCHAEFER,2
2015-04-07,01,02,PRES OF BOA,PROVISIONAL,LEWIS REED,0
2015-04-07,01,02,PRES OF BOA,PROVISIONAL,ERIK SHELQUIST,0
2015-04-07,01,02,PRES OF BOA,PROVISIONAL,JEFFREY SCHAEFER,0
2015-04-07,01,02,PRES OF BOA,HOUSE VOTES,LEWIS REED,0
2015-04-07,01,02,PRES OF BOA,HOUSE VOTES,ERIK SHELQUIST,0
2015-04-07,01,02,PRES OF BOA,HOUSE VOTES,JEFFREY SCHAEFER,0
2015-04-07,01,02,PRES OF BOA,Total,LEWIS REED,101
2015-04-07,01,02,PRES OF BOA,Total,ERIK SHELQUIST,2
2015-04-07,01,02,PRES OF BOA,Total,JEFFREY SCHAEFER,4
2015-04-07,01,03,PRES OF BOA,Polling,LEWIS REED,52
2015-04-07,01,03,PRES OF BOA,Polling,ERIK SHELQUIST,3
2015-04-07,01,03,PRES OF BOA,Polling,JEFFREY SCHAEFER,2
2015-04-07,01,03,PRES OF BOA,ABSENTEE,LEWIS REED,21
2015-04-07,01,03,PRES OF BOA,ABSENTEE,ERIK SHELQUIST,0
2015-04-07,01,03,PRES OF BOA,ABSENTEE,JEFFREY SCHAEFER,0
2015-04-07,01,03,PRES OF BOA,PROVISIONAL,LEWIS REED,0
2015-04-07,01,03,PRES OF BOA,PROVISIONAL,ERIK SHELQUIST,0
2015-04-07,01,03,PRES OF BOA,PROVISIONAL,JEFFREY SCHAEFER,0
2015-04-07,01,03,PRES OF BOA,HOUSE VOTES,LEWIS REED,0
2015-04-07,01,03,PRES OF BOA,HOUSE VOTES,ERIK SHELQUIST,0
2015-04-07,01,03,PRES OF BOA,HOUSE VOTES,JEFFREY SCHAEFER,0
2015-04-07,01,03,PRES OF BOA,Total,LEWIS REED,73
2015-04-07,01,03,PRES OF BOA,Total,ERIK SHELQUIST,3
2015-04-07,01,03,PRES OF BOA,Total,JEFFREY SCHAEFER,2
2015-04-07,01,04,PRES OF BOA,Polling,LEWIS REED,69
2015-04-07,01,04,PRES OF BOA,Polling,ERIK SHELQUIST,2
2015-04-07,01,04,PRES OF BOA,Polling,JEFFREY SCHAEFER,2
2015-04-07,01,04,PRES OF BOA,ABSENTEE,LEWIS REED,9
2015-04-07,01,04,PRES OF BOA,ABSENTEE,ERIK SHELQUIST,0
2015-04-07,01,04,PRES OF BOA,ABSENTEE,JEFFREY SCHAEFER,0
