ward,precinct,registered,polling,absentee,provisional,house,total
01,01,927,175,22,0,0,197
01,02,995,162,26,0,0,188
01,03,1186,188,24,0,0,212
01,04,862,155,7,0,0,162
01,05,1005,215,31,0,0,246
01,06,1141,218,46,0,0,264
01,07,107,23,3,0,0,26
02,01,255,48,5,0,0,53
02,02,246,22,3,0,0,25
02,03,995,183,15,0,0,198
02,04,635,119,6,0,0,125
02,05,1052,258,25,0,0,283
02,06,12,0,0,0,0,0
02,07,1021,265,22,0,0,287
02,08,1203,237,15,0,0,252
03,01,271,69,1,0,0,70
03,02,890,168,13,0,0,181
03,03,606,84,18,0,0,102
03,04,777,89,7,0,0,96
03,05,604,72,7,0,0,79
03,06,629,117,11,0,0,128
03,07,862,152,11,0,0,163
03,08,535,69,8,0,0,77
03,09,480,83,22,0,0,105
04,01,613,108,24,0,0,132
04,02,1535,242,21,0,0,263
04,03,608,92,6,0,0,98
04,04,887,185,14,0,0,199
04,05,732,108,8,0,0,116
04,06,517,79,6,0,0,85
04,07,741,151,20,0,0,171
04,08,152,27,4,0,0,31
04,09,133,27,1,0,0,28
04,10,233,29,5,0,0,34
05,01,519,62,29,0,0,91
05,02,568,81,4,0,0,85
05,03,786,108,55,0,0,163
05,04,455,84,6,0,0,90
05,05,735,93,8,0,0,101
05,06,897,151,22,0,0,173
05,07,841,158,11,0,1,170
05,08,386,65,18,0,0,83
06,01,809,215,10,0,0,225
06,02,698,313,17,0,0,330
06,03,931,246,4,0,0,250
06,04,997,334,19,0,0,353
06,05,379,135,11,0,0,146
06,06,813,176,9,0,0,185
06,07,1253,392,23,0,0,415
06,08,925,150,47,0,0,197
06,09,122,34,1,0,0,35
07,01,589,174,5,0,0,179
07,02,572,171,2,0,0,173
07,03,531,195,10,0,0,205
07,04,1433,311,27,0,0,338
07,05,1406,333,25,0,0,358
07,06,1644,428,23,0,0,451
08,01,983,346,9,0,0,355
08,02,741,198,8,0,0,206
08,03,638,194,10,0,0,204
08,04,1393,468,21,0,0,489
08,05,1384,467,19,0,0,486
08,06,69,14,0,0,0,14
08,07,479,168,13,0,0,181
08,08,846,299,16,0,0,315
08,09,850,273,18,0,0,291
09,01,1012,194,10,0,0,204
09,02,1181,218,20,0,0,238
09,03,749,243,4,0,0,247
09,04,529,169,7,0,0,176
09,05,678,211,3,0,0,214
09,06,821,134,6,0,0,140
09,07,65,5,0,0,0,5
09,08,353,87,1,0,0,88
09,09,299,101,8,0,0,109
10,01,1136,348,19,0,0,367
10,02,974,333,16,0,0,349
10,03,899,262,11,0,0,273
10,04,1036,297,7,0,0,304
10,05,984,202,3,0,0,205
10,06,184,58,3,0,0,61
10,07,1015,224,4,0,0,228
10,09,37,3,1,0,0,4
10,10,137,43,0,0,0,43
11,01,698,134,11,0,0,145
11,02,1030,372,19,0,0,391
11,03,687,94,11,0,0,105
11,04,1107,259,26,0,0,285
11,05,1081,236,23,0,0,259
11,06,960,220,9,0,0,229
12,01,676,205,6,0,0,211
12,02,1468,476,31,0,0,507
12,03,740,250,5,0,0,255
12,04,1256,439,20,0,0,459
12,05,1480,542,21,0,0,563
12,06,1502,427,42,0,0,469
12,08,77,16,0,0,0,16
12,09,46,18,0,0,0,18
13,01,1646,399,34,0,0,433
13,02,1403,467,25,0,0,492
13,03,1032,202,9,0,0,211
13,04,1189,438,7,0,0,445
13,06,1148,253,16,0,0,269
13,07,66,6,0,0,0,6
14,01,842,300,11,0,0,311
14,02,757,166,10,0,0,176
14,03,906,249,18,0,0,267
14,04,1167,370,7,0,0,377
14,05,539,97,8,0,0,105
14,06,962,242,7,0,0,249
14,07,87,33,2,0,0,35
14,08,51,16,0,0,0,16
14,09,321,53,9,0,0,62
15,01,1082,392,7,0,0,399
15,02,1293,536,13,0,0,549
15,03,1495,489,18,0,0,507
15,04,849,140,2,0,0,142
15,05,1151,318,21,0,0,339
15,06,639,125,3,0,0,128
15,07,4,1,0,0,0,1
16,01,1012,349,25,0,0,374
16,02,1144,450,28,0,0,478
16,03,1100,448,18,0,0,466
16,04,1120,480,22,0,0,502
16,05,1104,347,16,0,0,363
16,06,915,390,17,0,0,407
16,07,936,351,24,0,0,375
16,08,448,125,5,0,0,130
17,01,562,115,5,0,0,120
17,02,478,99,7,0,0,106
17,03,51,16,2,0,0,18
17,04,1013,196,13,0,0,209
17,05,1560,494,29,0,0,523
17,06,1209,282,19,0,0,301
17,07,25,2,0,0,0,2
17,08,928,230,12,0,0,242
18,01,1248,320,57,0,0,377
18,02,924,185,14,0,0,199
18,03,223,37,1,0,0,38
18,04,887,202,8,0,0,210
18,05,827,176,24,0,0,200
18,06,885,150,24,0,0,174
19,01,975,220,12,0,0,232
19,02,49,10,1,0,0,11
19,03,279,73,3,0,0,76
19,04,642,191,9,0,0,200
19,05,712,60,17,0,0,77
19,06,752,168,22,0,0,190
19,07,151,34,6,0,0,40
19,08,529,87,11,0,0,98
19,09,504,76,17,0,0,93
20,01,976,121,7,0,0,128
20,02,526,95,4,0,0,99
20,03,1139,197,10,0,0,207
20,04,628,112,3,0,0,115
20,05,1063,201,9,0,0,210
20,06,181,32,4,0,0,36
20,07,312,53,9,0,0,62
21,01,559,105,9,0,0,114
21,02,837,174,20,0,0,194
21,03,816,125,17,0,0,142
21,04,887,180,23,0,0,203
21,05,710,136,12,0,0,148
21,06,818,178,16,0,0,194
21,07,503,116,8,0,0,124
21,08,679,137,16,0,0,153
21,09,807,168,16,0,0,184
22,01,445,82,3,0,0,85
22,02,981,145,22,0,0,167
22,03,1046,189,18,0,0,207
22,04,767,148,36,0,0,184
22,05,728,120,11,0,0,131
22,06,1056,194,21,0,0,215
22,07,459,62,4,0,0,66
22,08,170,29,3,0,0,32
23,01,1413,483,12,0,0,495
23,02,1118,398,20,0,0,418
23,03,733,269,7,0,0,276
23,04,1074,396,11,0,0,407
23,05,841,344,12,0,0,356
23,06,837,298,11,0,0,309
23,07,829,293,19,0,0,312
23,08,806,301,9,0,0,310
23,09,251,84,3,0,0,87
24,01,984,320,13,0,0,333
24,02,677,203,9,0,0,212
24,03,794,193,10,0,0,203
24,04,1030,323,14,0,0,337
24,05,1029,283,9,0,0,292
24,06,1061,339,5,0,0,344
24,07,943,267,8,0,0,275
24,08,314,85,3,0,0,88
25,01,1154,223,12,0,1,236
25,02,1299,270,15,0,0,285
25,03,742,119,2,0,0,121
25,04,1289,228,11,0,0,239
