date,ward,precinct,race,type,candidate,votes
2016-11-08,01,01,PRESIDENT,Polling,CLINTON/KAINE,495
2016-11-08,01,01,PRESIDENT,Polling,TRUMP/PENCE,10
2016-11-08,01,01,PRESIDENT,Polling,JOHNSON/WELD,2
2016-11-08,01,01,PRESIDENT,ABSENTEE,CLINTON/KAINE,48
2016-11-08,01,01,PRESIDENT,ABSENTEE,TRUMP/PENCE,0
2016-11-08,01,01,PRESIDENT,ABSENTEE,JOHNSON/WELD,1
2016-11-08,01,01,PRESIDENT,PROVISIONAL,CLINTON/KAINE,1
2016-11-08,01,01,PRESIDENT,PROVISIONAL,TRUMP/PENCE,0
2016-11-08,01,01,PRESIDENT,PROVISIONAL,JOHNSON/WELD,0
2016-11-08,01,01,PRESIDENT,HOUSE VOTES,CLINTON/KAINE,0
2016-11-08,01,01,PRESIDENT,HOUSE VOTES,TRUMP/PENCE,0
2016-11-08,01,01,PRESIDENT,HOUSE VOTES,JOHNSON/WELD,0
2016-11-08,01,01,PRESIDENT,Total,CLINTON/KAINE,544
2016-11-08,01,01,PRESIDENT,Total,TRUMP/PENCE,10
2016-11-08,01,01,PRESIDENT,Total,JOHNSON/WELD,3
2016-11-08,01,02,PRESIDENT,Polling,CLINTON/KAINE,542
2016-11-08,01,02,PRESIDENT,Polling,TRUMP/PENCE,6
2016-11-08,01,02,PRESIDENT,Polling,JOHNSON/WELD,5
2016-11-08,01,02,PRESIDENT,ABSENTEE,CLINTON/KAINE,71
2016-11-08,01,02,PRESIDENT,ABSENTEE,TRUMP/PENCE,1
2016-11-08,01,02,PRESIDENT,ABSENTEE,JOHNSON/WELD,0
2016-11-08,01,02,PRESIDENT,PROVISIONAL,CLINTON/KAINE,0
2016-11-08,01,02,PRESIDENT,PROVISIONAL,TRUMP/PENCE,0
2016-11-08,01,02,PRESIDENT,PROVISIONAL,JOHNSON/WELD,0
2016-11-08,01,02,PRESIDENT,HOUSE VOTES,CLINTON/KAINE,0
2016-11-08,01,02,PRESIDENT,HOUSE VOTES,TRUMP/PENCE,0
2016-11-08,01,02,PRESIDENT,HOUSE VOTES,JOHNSON/WELD,0
2016-11-08,01,02,PRESIDENT,Total,CLINTON/KAINE,613
2016-11-08,01,02,PRESIDENT,Total,TRUMP/PENCE,7
2016-11-08,01,02,PRESIDENT,Total,JOHNSON/WELD,5
2016-11-08,01,03,PRESIDENT,Polling,CLINTON/KAINE,629
2016-11-08,01,03,PRESIDENT,Polling,TRUMP/PENCE,17
2016-11-08,01,03,PRESIDENT,Polling,JOHNSON/WELD,3
2016-11-08,01,03,PRESIDENT,ABSENTEE,CLINTON/KAINE,66
2016-11-08,01,03,PRESIDENT,ABSENTEE,TRUMP/PENCE,0
2016-11-08,01,03,PRESIDENT,ABSENTEE,JOHNSON/WELD,0
2016-11-08,01,03,PRESIDENT,PROVISIONAL,CLINTON/KAINE,1
2016-11-08,01,03,PRESIDENT,PROVISIONAL,TRUMP/PENCE,0
2016-11-08,01,03,PRESIDENT,PROVISIONAL,JOHNSON/WELD,0
2016-11-08,01,03,PRESIDENT,HOUSE VOTES,CLINTON/KAINE,0
2016-11-08,01,03,PRESIDENT,HOUSE VOTES,TRUMP/PENCE,0
2016-11-08,01,03,PRESIDENT,HOUSE VOTES,JOHNSON/WELD,0
2016-11-08,01,03,PRESIDENT,Total,CLINTON/KAINE,696
2016-11-08,01,03,PRESIDENT,Total,TRUMP/PENCE,17
2016-11-08,01,03,PRESIDENT,Total,JOHNSON/WELD,3
2016-11-08,01,04,PRESIDENT,Polling,CLINTON/KAINE,458
2016-11-08,01,04,PRESIDENT,Polling,TRUMP/PENCE,5
2016-11-08,01,04,PRESIDENT,Polling,JOHNSON/WELD,1
