date,ward,precinct,registered,polling,absentee,provisional,house,total
2017-03-07,01,01,980,205,21,0,0,226
2017-03-07,01,02,1072,220,25,0,0,245
2017-03-07,01,03,1219,235,29,0,0,264
2017-03-07,01,04,916,202,8,0,0,210
2017-03-07,01,05,1086,274,26,0,0,300
2017-03-07,01,06,1283,277,55,0,0,332
2017-03-07,01,07,117,28,5,0,0,33
2017-03-07,02,01,279,57,7,0,0,64
2017-03-07,02,02,266,18,2,0,0,20
2017-03-07,02,03,1098,207,19,0,0,226
2017-03-07,02,04,667,138,8,0,0,146
2017-03-07,02,05,1113,325,29,0,0,354
2017-03-07,02,06,15,1,0,0,0,1
2017-03-07,02,07,1074,308,42,0,0,350
2017-03-07,02,08,1310,265,22,0,0,287
2017-03-07,03,01,310,83,5,0,0,88
2017-03-07,03,02,922,241,31,0,0,272
2017-03-07,03,03,620,99,27,0,0,126
2017-03-07,03,04,916,167,24,0,0,191
2017-03-07,03,05,664,111,26,0,0,137
2017-03-07,03,06,697,141,19,0,0,160
2017-03-07,03,07,956,191,25,0,0,216
2017-03-07,03,08,584,93,27,0,0,120
2017-03-07,03,09,525,122,35,0,0,157
2017-03-07,04,01,694,147,31,0,0,178
2017-03-07,04,02,1586,317,29,0,0,346
2017-03-07,04,03,659,115,9,0,0,124
2017-03-07,04,04,924,179,15,0,0,194
2017-03-07,04,05,776,171,13,0,0,184
2017-03-07,04,06,563,99,7,0,0,106
2017-03-07,04,07,791,181,17,0,0,198
2017-03-07,04,08,159,28,3,0,0,31
2017-03-07,04,09,142,34,2,0,0,36
2017-03-07,04,10,256,33,7,0,0,40
2017-03-07,05,01,541,93,60,0,0,153
2017-03-07,05,02,653,121,4,0,0,125
2017-03-07,05,03,920,198,70,0,0,268
2017-03-07,05,04,533,104,4,0,0,108
2017-03-07,05,05,891,122,16,0,0,138
2017-03-07,05,06,1118,196,44,0,0,240
2017-03-07,05,07,1175,273,35,0,0,308
2017-03-07,05,08,567,88,37,0,0,125
2017-03-07,06,01,908,294,12,0,0,306
2017-03-07,06,02,801,351,21,0,0,372
2017-03-07,06,03,1096,347,6,0,0,353
2017-03-07,06,04,1077,450,22,0,1,473
2017-03-07,06,05,533,167,14,0,0,181
2017-03-07,06,06,953,227,8,0,0,235
2017-03-07,06,07,1479,518,21,0,0,539
2017-03-07,06,08,1050,180,34,0,0,214
2017-03-07,06,09,139,36,3,0,0,39
2017-03-07,07,01,688,210,7,0,0,217
2017-03-07,07,02,707,190,8,0,0,198
2017-03-07,07,03,624,234,12,0,0,246
2017-03-07,07,04,2103,429,47,0,1,477
2017-03-07,07,05,1668,432,33,0,0,465
2017-03-07,07,06,2079,588,31,0,0,619
2017-03-07,08,01,1155,452,14,0,0,466
2017-03-07,08,02,823,247,9,0,0,256
2017-03-07,08,03,726,221,7,0,0,228
2017-03-07,08,04,1584,593,18,0,0,611
2017-03-07,08,05,1579,623,30,0,0,653
2017-03-07,08,06,84,11,0,0,0,11
2017-03-07,08,07,580,201,14,0,0,215
2017-03-07,08,08,1049,354,26,0,0,380
2017-03-07,08,09,977,332,25,0,0,357
2017-03-07,09,01,1202,284,11,0,0,295
2017-03-07,09,02,1348,272,14,0,0,286
2017-03-07,09,03,902,374,7,0,0,381
2017-03-07,09,04,675,268,6,0,0,274
2017-03-07,09,05,774,327,10,0,0,337
2017-03-07,09,06,977,203,11,0,0,214
2017-03-07,09,07,79,59,0,0,0,59
2017-03-07,09,08,437,150,7,0,0,157
2017-03-07,09,09,356,133,5,0,0,138
2017-03-07,10,01,1309,396,23,0,0,419
2017-03-07,10,02,1100,358,12,0,0,370
2017-03-07,10,03,1008,316,10,0,0,326
2017-03-07,10,04,1207,341,12,0,0,353
2017-03-07,10,05,1189,244,5,0,0,249
2017-03-07,10,06,190,67,4,0,0,71
2017-03-07,10,07,1132,302,3,0,0,305
2017-03-07,10,09,48,6,1,0,0,7
2017-03-07,10,10,153,36,1,0,0,37
2017-03-07,11,01,783,165,5,0,0,170
2017-03-07,11,02,1143,430,12,0,0,442
2017-03-07,11,03,804,125,7,0,0,132
2017-03-07,11,04,1234,296,23,0,0,319
2017-03-07,11,05,1261,255,48,0,0,303
2017-03-07,11,06,1058,267,7,0,0,274
2017-03-07,12,01,734,198,5,0,0,203
2017-03-07,12,02,1612,443,37,0,0,480
2017-03-07,12,03,813,254,8,0,0,262
2017-03-07,12,04,1372,454,17,0,0,471
2017-03-07,12,05,1606,547,19,0,0,566
2017-03-07,12,06,1684,404,38,0,0,442
2017-03-07,12,08,89,22,0,0,0,22
2017-03-07,12,09,52,11,0,0,0,11
2017-03-07,13,01,1760,440,29,0,0,469
2017-03-07,13,02,1533,488,22,0,0,510
2017-03-07,13,03,1187,232,7,0,0,239
