date,ward,precinct,registered,polling,absentee,provisional,house,total
2017-04-04,01,01,982,161,26,0,0,187
2017-04-04,01,02,1080,166,20,0,0,186
2017-04-04,01,03,1218,205,24,0,0,229
2017-04-04,01,04,918,179,8,0,0,187
2017-04-04,01,05,1090,246,26,0,1,273
2017-04-04,01,06,1285,237,61,0,0,298
2017-04-04,01,07,118,37,4,0,0,41
2017-04-04,02,01,282,54,3,0,0,57
2017-04-04,02,02,266,16,1,0,0,17
2017-04-04,02,03,1098,199,15,0,0,214
2017-04-04,02,04,670,127,11,0,0,138
2017-04-04,02,05,1114,277,30,0,0,307
2017-04-04,02,06,15,0,0,0,0,0
2017-04-04,02,07,1079,262,48,0,0,310
2017-04-04,02,08,1318,227,20,0,0,247
2017-04-04,03,01,312,66,5,0,0,71
2017-04-04,03,02,923,212,26,0,0,238
2017-04-04,03,03,621,70,35,0,0,105
2017-04-04,03,04,923,130,13,0,0,143
2017-04-04,03,05,671,93,10,0,0,103
2017-04-04,03,06,698,121,16,0,0,137
2017-04-04,03,07,966,158,14,0,0,172
2017-04-04,03,08,585,74,15,0,0,89
2017-04-04,03,09,526,119,22,0,0,141
2017-04-04,04,01,706,129,40,0,0,169
2017-04-04,04,02,1588,267,25,0,0,292
2017-04-04,04,03,659,94,5,0,0,99
2017-04-04,04,04,926,153,10,0,0,163
2017-04-04,04,05,783,134,17,0,0,151
2017-04-04,04,06,563,88,5,0,0,93
2017-04-04,04,07,803,155,23,0,0,178
2017-04-04,04,08,160,26,3,0,0,29
2017-04-04,04,09,142,27,2,0,0,29
2017-04-04,04,10,255,32,6,0,0,38
2017-04-04,05,01,540,73,48,0,0,121
2017-04-04,05,02,655,102,7,0,0,109
2017-04-04,05,03,922,208,57,0,0,265
2017-04-04,05,04,532,106,5,0,0,111
2017-04-04,05,05,891,117,11,0,0,128
2017-04-04,05,06,1128,192,29,0,0,221
2017-04-04,05,07,1182,336,22,0,1,359
2017-04-04,05,08,573,107,32,0,0,139
2017-04-04,06,01,906,314,9,0,0,323
2017-04-04,06,02,806,400,15,0,0,415
2017-04-04,06,03,1098,323,7,0,0,330
2017-04-04,06,04,1080,359,26,0,0,385
2017-04-04,06,05,538,166,12,0,0,178
2017-04-04,06,06,950,254,14,0,0,268
2017-04-04,06,07,1483,522,24,0,0,546
2017-04-04,06,08,1054,195,16,0,0,211
2017-04-04,06,09,138,40,1,0,0,41
2017-04-04,07,01,689,240,9,0,0,249
2017-04-04,07,02,710,216,8,0,0,224
2017-04-04,07,03,628,268,18,0,0,286
2017-04-04,07,04,2118,545,37,0,0,582
2017-04-04,07,05,1675,474,37,0,0,511
2017-04-04,07,06,2102,741,27,0,0,768
2017-04-04,08,01,1159,474,12,0,0,486
2017-04-04,08,02,829,270,7,0,0,277
2017-04-04,08,03,732,217,5,0,0,222
2017-04-04,08,04,1591,622,22,0,1,645
2017-04-04,08,05,1586,659,24,0,0,683
2017-04-04,08,06,83,16,0,0,0,16
2017-04-04,08,07,577,192,18,0,0,210
2017-04-04,08,08,1051,368,25,0,0,393
2017-04-04,08,09,982,340,14,0,0,354
2017-04-04,09,01,1200,267,11,0,0,278
2017-04-04,09,02,1362,276,20,0,0,296
2017-04-04,09,03,906,373,13,0,0,386
2017-04-04,09,04,677,276,10,0,0,286
2017-04-04,09,05,778,297,10,0,0,307
2017-04-04,09,06,983,197,5,0,0,202
2017-04-04,09,07,79,7,1,0,0,8
2017-04-04,09,08,438,144,7,0,0,151
2017-04-04,09,09,357,136,6,0,0,142
2017-04-04,10,01,1315,510,24,0,0,534
2017-04-04,10,02,1113,493,18,0,0,511
2017-04-04,10,03,1007,407,15,0,0,422
2017-04-04,10,04,1216,428,10,0,0,438
2017-04-04,10,05,1195,313,8,0,0,321
2017-04-04,10,06,191,91,2,0,0,93
2017-04-04,10,07,1144,340,9,0,0,349
2017-04-04,10,09,49,4,1,0,0,5
2017-04-04,10,10,156,54,3,0,0,57
2017-04-04,11,01,789,180,7,0,0,187
2017-04-04,11,02,1144,455,15,0,0,470
2017-04-04,11,03,807,130,10,0,0,140
2017-04-04,11,04,1243,326,22,0,0,348
2017-04-04,11,05,1272,290,48,0,0,338
2017-04-04,11,06,1059,253,6,0,0,259
2017-04-04,12,01,737,267,9,0,0,276
2017-04-04,12,02,1616,607,44,0,0,651
2017-04-04,12,03,817,318,6,0,0,324
2017-04-04,12,04,1371,566,17,0,0,583
2017-04-04,12,05,1619,726,21,0,0,747
2017-04-04,12,06,1695,578,44,0,0,622
2017-04-04,12,08,89,36,0,0,0,36
2017-04-04,12,09,52,7,0,0,0,7
2017-04-04,13,01,1765,580,31,0,0,611
2017-04-04,13,02,1531,625,25,0,0,650
2017-04-04,13,03,1192,248,12,0,0,260
2017-04-04,13,04,1343,541,9,0,0,550
2017-04-04,13,06,1264,336,14,0,0,350
2017-04-04,13,07,64,5,1,0,0,6
2017-04-04,14,01,975,418,16,0,0,434
2017-04-04,14,02,845,221,10,0,0,231
2017-04-04,14,03,1039,289,14,0,0,303
2017-04-04,14,04,1363,491,6,0,0,497
2017-04-04,14,05,614,122,7,0,0,129
2017-04-04,14,06,1051,280,10,0,0,290
2017-04-04,14,07,97,38,2,0,0,40
2017-04-04,14,08,55,23,0,0,0,23
2017-04-04,14,09,354,78,7,0,0,85
2017-04-04,15,01,1242,484,12,0,0,496
2017-04-04,15,02,1474,668,22,0,0,690
2017-04-04,15,03,1725,702,22,0,0,724
2017-04-04,15,04,956,177,8,0,0,185
2017-04-04,15,05,1303,422,15,0,0,437
2017-04-04,15,06,683,162,2,0,0,164
2017-04-04,15,07,4,1,0,0,0,1
2017-04-04,16,01,1132,534,26,0,0,560
2017-04-04,16,02,1243,644,36,0,0,680
2017-04-04,16,03,1209,606,22,0,0,628
2017-04-04,16,04,1269,627,25,0,0,652
2017-04-04,16,05,1237,571,27,0,0,598
2017-04-04,16,06,994,557,22,0,0,579
2017-04-04,16,07,1034,491,26,0,0,517
2017-04-04,16,08,523,151,8,0,0,159
2017-04-04,17,01,684,181,8,0,0,189
