ward,precinct,registered,polling,absentee,provisional,house,total
01,01,948,243,22,0,0,265
01,02,1021,291,25,0,0,316
01,03,1107,285,29,0,0,314
01,04,902,244,11,0,0,255
01,05,1001,295,32,0,0,327
01,06,1276,331,55,0,0,386
01,07,120,20,5,0,0,25
02,01,280,51,4,1,0,56
02,02,251,28,1,0,0,29
02,03,1044,280,13,0,0,293
02,04,616,162,12,0,0,174
02,05,1076,397,41,0,0,438
02,06,18,1,0,0,0,1
02,07,1006,349,60,1,0,410
02,08,1284,337,16,3,0,356
03,01,289,111,4,0,0,115
03,02,877,286,12,0,0,298
03,03,506,126,29,0,0,155
03,04,823,192,13,0,0,205
03,05,611,123,6,1,0,130
03,06,685,175,12,0,0,187
03,07,950,235,13,0,0,248
03,08,545,104,12,0,0,116
03,09,471,126,18,0,0,144
04,01,664,171,42,0,0,213
04,02,1450,347,23,1,0,371
04,03,600,159,4,0,0,163
04,04,924,218,16,0,0,234
04,05,725,194,15,0,0,209
04,06,516,121,8,1,0,130
04,07,754,196,16,0,0,212
04,08,161,27,3,0,0,30
04,09,136,50,2,0,0,52
04,10,237,39,5,0,0,44
05,01,407,106,24,0,0,130
05,02,579,139,6,0,0,145
05,03,873,193,34,9,0,236
05,04,488,141,5,0,0,146
05,05,829,132,7,8,0,147
05,06,1016,237,24,0,0,261
05,07,1030,271,25,1,0,297
05,08,505,107,31,0,0,138
06,01,905,350,28,0,0,378
06,02,762,372,28,1,0,401
06,03,1043,402,13,0,0,415
06,04,1032,457,29,0,0,486
06,05,483,193,9,7,0,209
06,06,884,265,14,0,0,279
06,07,1372,592,32,4,0,628
06,08,997,230,25,1,0,256
06,09,111,41,1,1,0,43
07,01,676,271,12,0,0,283
07,02,643,247,11,0,0,258
07,03,620,264,21,1,0,286
07,04,1793,569,38,1,0,608
07,05,1488,485,33,0,0,518
07,06,1740,668,36,1,0,705
08,01,1050,499,27,1,0,527
08,02,788,319,13,0,0,332
08,03,668,275,16,0,0,291
08,04,1430,690,38,1,0,729
08,05,1465,720,40,0,0,760
08,06,78,25,2,0,0,27
08,07,527,229,15,0,0,244
08,08,844,396,37,0,0,433
08,09,860,384,27,0,0,411
09,01,1079,325,17,0,0,342
09,02,1293,296,26,0,0,322
09,03,821,359,14,0,0,373
09,04,574,269,7,0,0,276
09,05,729,335,13,0,0,348
09,06,905,257,13,1,0,271
09,07,69,2,3,0,0,5
09,08,391,166,4,0,0,170
09,09,328,138,6,0,0,144
10,01,1254,534,28,0,0,562
10,02,1041,461,12,0,0,473
10,03,924,360,22,0,0,382
10,04,1120,501,19,0,0,520
10,05,1092,415,12,0,0,427
10,06,191,97,1,0,0,98
10,07,1045,437,14,1,0,452
10,09,50,10,1,0,0,11
10,10,168,74,4,0,0,78
11,01,773,223,9,0,0,232
11,02,1099,518,26,0,1,545
11,03,752,164,9,0,0,173
