ward,precinct,registered,polling,absentee,provisional,house,total
01,01,1003,446,29,2,0,477
01,02,1094,435,48,0,0,483
01,03,1157,460,43,0,0,503
01,04,944,432,21,2,0,455
01,05,1052,518,55,0,0,573
01,06,1339,523,74,2,0,599
01,07,128,22,7,0,0,29
02,01,295,95,9,0,0,104
02,02,279,87,1,1,0,89
02,03,1139,511,40,3,0,554
02,04,643,295,20,2,0,317
02,05,1101,582,56,0,0,638
02,06,16,1,0,0,0,1
02,07,1038,526,65,3,0,594
02,08,1343,582,29,0,0,611
03,01,320,192,7,0,0,199
03,02,897,409,28,0,0,437
03,03,537,205,36,0,0,241
03,04,899,389,20,0,0,409
03,05,630,233,8,0,0,241
03,06,749,290,33,0,0,323
03,07,992,412,19,0,0,431
03,08,561,196,18,0,0,214
03,09,487,204,15,0,0,219
04,01,692,274,58,1,0,333
04,02,1577,640,39,0,0,679
04,03,629,287,14,0,0,301
04,04,966,432,23,1,0,456
04,05,779,304,27,0,0,331
04,06,532,227,14,0,0,241
04,07,797,336,24,0,0,360
04,08,170,63,4,0,0,67
04,09,149,79,2,0,0,81
04,10,257,87,8,0,0,95
05,01,418,196,26,0,0,222
05,02,609,236,13,0,0,249
05,03,949,394,45,0,0,439
05,04,528,245,8,0,0,253
05,05,846,299,17,0,0,316
05,06,1150,517,47,0,1,565
05,07,1155,610,112,0,1,723
05,08,593,252,57,0,0,309
06,01,944,585,30,0,0,615
06,02,793,549,80,0,0,629
06,03,1135,673,43,0,0,716
06,04,1051,622,68,0,0,690
06,05,578,300,37,0,0,337
06,06,973,522,44,0,0,566
06,07,1481,955,78,0,0,1033
06,08,1046,466,47,1,0,514
06,09,123,74,3,0,0,77
07,01,703,433,22,0,0,455
07,02,713,436,28,0,0,464
07,03,669,455,77,0,0,532
07,04,2047,1157,152,1,0,1310
07,05,1565,908,84,0,0,992
07,06,1911,1234,109,1,0,1344
08,01,1142,777,50,0,0,827
08,02,814,537,27,2,0,566
08,03,721,469,34,1,0,504
08,04,1553,1091,73,0,0,1164
08,05,1566,1102,82,0,0,1184
08,06,83,31,3,0,0,34
08,07,558,358,40,1,0,399
