ward,precinct,race,type,candidate,votes
01,01,US SENATOR,Polling,JOSH HAWLEY,6
01,01,Y,Polling,CLAIRE McCASKILL,430
01,01,US SENATOR,Polling,JAPHETH CAMPBELL,3
01,01,US SENATOR,ABSENTEE,JOSH HAWLEY,2
01,01,Y,ABSENTEE,CLAIRE McCASKILL,27
01,01,US SENATOR,ABSENTEE,JAPHETH CAMPBELL,0
01,01,US SENATOR,PROVISIONAL,JOSH HAWLEY,0
01,01,Y,PROVISIONAL,CLAIRE McCASKILL,2
01,01,US SENATOR,PROVISIONAL,JAPHETH CAMPBELL,0
01,01,US SENATOR,HOUSE VOTES,JOSH HAWLEY,0
01,01,Y,HOUSE VOTES,CLAIRE McCASKILL,0
01,01,US SENATOR,HOUSE VOTES,JAPHETH CAMPBELL,0
01,01,US SENATOR,Total,JOSH HAWLEY,8
01,01,Y,Total,CLAIRE McCASKILL,459
01,01,US SENATOR,Total,JAPHETH CAMPBELL,3
01,02,US SENATOR,Polling,JOSH HAWLEY,9
01,02,Y,Polling,CLAIRE McCASKILL,415
01,02,US SENATOR,Polling,JAPHETH CAMPBELL,5
01,02,US SENATOR,ABSENTEE,JOSH HAWLEY,2
01,02,Y,ABSENTEE,CLAIRE McCASKILL,44
01,02,US SENATOR,ABSENTEE,JAPHETH CAMPBELL,1
01,02,US SENATOR,PROVISIONAL,JOSH HAWLEY,0
01,02,Y,PROVISIONAL,CLAIRE McCASKILL,0
01,02,US SENATOR,PROVISIONAL,JAPHETH CAMPBELL,0
01,02,US SENATOR,HOUSE VOTES,JOSH HAWLEY,0
01,02,Y,HOUSE VOTES,CLAIRE McCASKILL,0
01,02,US SENATOR,HOUSE VOTES,JAPHETH CAMPBELL,0
01,02,US SENATOR,Total,JOSH HAWLEY,11
01,02,Y,Total,CLAIRE McCASKILL,459
01,02,US SENATOR,Total,JAPHETH CAMPBELL,6
01,03,US SENATOR,Polling,JOSH HAWLEY,8
01,03,Y,Polling,CLAIRE McCASKILL,448
