date,ward,precinct,registered,polling,absentee,provisional,house,total
2019-03-09,01,01,1005,112,22,0,0,134
2019-03-09,01,02,1097,124,16,0,0,140
2019-03-09,01,03,1166,135,20,0,0,155
2019-03-09,01,04,947,111,14,0,0,125
2019-03-09,01,05,1054,151,23,0,0,174
2019-03-09,01,06,1331,168,52,0,0,220
2019-03-09,01,07,124,6,2,0,0,8
2019-03-09,02,01,286,25,8,0,0,33
2019-03-09,02,02,281,12,3,0,0,15
2019-03-09,02,03,1144,131,10,0,0,141
2019-03-09,02,04,643,74,13,0,0,87
2019-03-09,02,05,1099,212,33,0,0,245
2019-03-09,02,06,16,3,0,0,0,3
2019-03-09,02,07,1038,212,36,0,0,248
2019-03-09,02,08,1357,161,14,0,0,175
2019-03-09,03,01,318,34,4,0,0,38
2019-03-09,03,02,896,116,10,0,0,126
2019-03-09,03,03,545,44,28,0,0,72
2019-03-09,03,04,915,74,9,0,0,83
2019-03-09,03,05,625,62,6,0,0,68
2019-03-09,03,06,749,64,12,0,0,76
2019-03-09,03,07,992,123,14,0,0,137
2019-03-09,03,08,559,37,9,0,0,46
2019-03-09,03,09,487,58,7,0,0,65
2019-03-09,04,01,693,118,31,0,0,149
2019-03-09,04,02,1590,168,25,0,0,193
2019-03-09,04,03,639,81,13,0,0,94
2019-03-09,04,04,958,130,12,0,0,142
2019-03-09,04,05,788,101,14,0,0,115
2019-03-09,04,06,539,68,5,0,0,73
2019-03-09,04,07,790,115,17,0,0,132
2019-03-09,04,08,170,17,3,0,0,20
2019-03-09,04,09,153,29,2,0,0,31
2019-03-09,04,10,254,28,5,0,0,33
2019-03-09,05,01,419,42,12,0,0,54
2019-03-09,05,02,614,60,7,0,0,67
2019-03-09,05,03,953,88,29,0,0,117
2019-03-09,05,04,524,55,2,0,0,57
2019-03-09,05,05,838,56,7,0,0,63
2019-03-09,05,06,1186,73,23,0,0,96
2019-03-09,05,07,1183,104,12,0,0,116
2019-03-09,05,08,613,51,21,0,0,72
2019-03-09,06,01,955,248,12,0,0,260
2019-03-09,06,02,805,296,16,0,0,312
2019-03-09,06,03,1160,256,11,0,0,267
2019-03-09,06,04,1060,349,30,0,0,379
2019-03-09,06,05,613,148,6,0,0,154
2019-03-09,06,06,1002,142,11,0,0,153
2019-03-09,06,07,1500,419,18,0,0,437
2019-03-09,06,08,1054,147,36,0,0,183
2019-03-09,06,09,121,24,3,0,0,27
2019-03-09,07,01,732,122,5,0,0,127
2019-03-09,07,02,724,102,5,0,0,107
2019-03-09,07,03,679,137,9,0,0,146
2019-03-09,07,04,2116,194,26,0,0,220
2019-03-09,07,05,1621,204,23,0,0,227
2019-03-09,07,06,1996,256,26,0,0,282
2019-03-09,08,01,1133,297,7,0,0,304
2019-03-09,08,02,830,177,4,0,0,181
2019-03-09,08,03,745,181,5,0,0,186
2019-03-09,08,04,1584,434,10,0,0,444
2019-03-09,08,05,1565,485,22,0,0,507
2019-03-09,08,06,84,14,0,0,0,14
2019-03-09,08,07,562,138,7,0,0,145
2019-03-09,08,08,899,286,23,0,0,309
2019-03-09,08,09,934,232,14,0,0,246
2019-03-09,09,01,1178,159,6,0,0,165
2019-03-09,09,02,1414,116,21,0,0,137
2019-03-09,09,03,883,187,5,1,0,193
2019-03-09,09,04,634,125,6,0,0,131
2019-03-09,09,05,780,170,9,0,0,179
2019-03-09,09,06,1010,119,5,0,0,124
2019-03-09,09,07,90,5,3,0,0,8
2019-03-09,09,08,421,72,3,0,0,75
2019-03-09,09,09,344,60,1,0,0,61
2019-03-09,10,01,1338,264,11,0,0,275
2019-03-09,10,02,1095,326,16,0,0,342
2019-03-09,10,03,992,278,19,0,0,297
2019-03-09,10,04,1194,225,8,0,0,233
2019-03-09,10,05,1206,147,7,0,0,154
2019-03-09,10,06,210,63,3,0,0,66
2019-03-09,10,07,1123,193,7,0,0,200
2019-03-09,10,09,53,5,1,0,0,6
2019-03-09,10,10,177,34,3,0,0,37
2019-03-09,11,01,810,68,9,0,0,77
2019-03-09,11,02,1148,224,11,0,0,235
2019-03-09,11,03,821,46,7,0,0,53
2019-03-09,11,04,1282,138,18,0,0,156
