date,ward,precinct,race,type,candidate,votes
2019-03-09,01,01,PRES OF BOA DEM,Polling,JAMILAH NASHEED,77
2019-03-09,01,01,PRES OF BOA DEM,Polling,MEGAN GREEN,3
2019-03-09,01,01,PRES OF BOA DEM,Polling,LEWIS REED,32
2019-03-09,01,01,PRES OF BOA DEM,ABSENTEE,JAMILAH NASHEED,13
2019-03-09,01,01,PRES OF BOA DEM,ABSENTEE,MEGAN GREEN,0
2019-03-09,01,01,PRES OF BOA DEM,ABSENTEE,LEWIS REED,8
2019-03-09,01,01,PRES OF BOA DEM,PROVISIONAL,JAMILAH NASHEED,0
2019-03-09,01,01,PRES OF BOA DEM,PROVISIONAL,MEGAN GREEN,0
2019-03-09,01,01,PRES OF BOA DEM,PROVISIONAL,LEWIS REED,0
2019-03-09,01,01,PRES OF BOA DEM,HOUSE VOTES,JAMILAH NASHEED,0
2019-03-09,01,01,PRES OF BOA DEM,HOUSE VOTES,MEGAN GREEN,0
2019-03-09,01,01,PRES OF BOA DEM,HOUSE VOTES,LEWIS REED,0
2019-03-09,01,01,PRES OF BOA DEM,Total,JAMILAH NASHEED,90
2019-03-09,01,01,PRES OF BOA DEM,Total,MEGAN GREEN,3
2019-03-09,01,01,PRES OF BOA DEM,Total,LEWIS REED,40
2019-03-09,01,02,PRES OF BOA DEM,Polling,JAMILAH NASHEED,85
2019-03-09,01,02,PRES OF BOA DEM,Polling,MEGAN GREEN,5
2019-03-09,01,02,PRES OF BOA DEM,Polling,LEWIS REED,33
2019-03-09,01,02,PRES OF BOA DEM,ABSENTEE,JAMILAH NASHEED,7
2019-03-09,01,02,PRES OF BOA DEM,ABSENTEE,MEGAN GREEN,1
2019-03-09,01,02,PRES OF BOA DEM,ABSENTEE,LEWIS REED,6
2019-03-09,01,02,PRES OF BOA DEM,PROVISIONAL,JAMILAH NASHEED,0
2019-03-09,01,02,PRES OF BOA DEM,PROVISIONAL,MEGAN GREEN,0
2019-03-09,01,02,PRES OF BOA DEM,PROVISIONAL,LEWIS REED,0
2019-03-09,01,02,PRES OF BOA DEM,HOUSE VOTES,JAMILAH NASHEED,0
2019-03-09,01,02,PRES OF BOA DEM,HOUSE VOTES,MEGAN GREEN,0
2019-03-09,01,02,PRES OF BOA DEM,HOUSE VOTES,LEWIS REED,0
2019-03-09,01,02,PRES OF BOA DEM,Total,JAMILAH NASHEED,92
2019-03-09,01,02,PRES OF BOA DEM,Total,MEGAN GREEN,6
2019-03-09,01,02,PRES OF BOA DEM,Total,LEWIS REED,39
2019-03-09,01,03,PRES OF BOA DEM,Polling,JAMILAH NASHEED,90
2019-03-09,01,03,PRES OF BOA DEM,Polling,MEGAN GREEN,1
2019-03-09,01,03,PRES OF BOA DEM,Polling,LEWIS REED,40
2019-03-09,01,03,PRES OF BOA DEM,ABSENTEE,JAMILAH NASHEED,10
2019-03-09,01,03,PRES OF BOA DEM,ABSENTEE,MEGAN GREEN,0
2019-03-09,01,03,PRES OF BOA DEM,ABSENTEE,LEWIS REED,8
