date,race,candidate,votes
2019-04-02,PRES OF BOA,LEWIS REED,15169
2019-04-02,PRES OF BOA,JEROME BAUER,3553
2019-04-02,PRES OF BOA,Write-in Votes,640
2019-04-02,WD 2 ALDERMAN,LISA MIDDLEBROOK,495
2019-04-02,WD 2 ALDERMAN,Write-in Votes,15
2019-04-02,WD 4 ALDERMAN,SAMUEL MOORE,456
2019-04-02,WD 4 ALDERMAN,Write-in Votes,19
2019-04-02,WD 6 ALDERMAN,MICHAEL HEBRON,199
2019-04-02,WD 6 ALDERMAN,CHRISTINE INGRASSIA,965
2019-04-02,WD 6 ALDERMAN,Write-in Votes,21
2019-04-02,WD 8 ALDERMAN,ANNIE RICE,1118
2019-04-02,WD 8 ALDERMAN,Write-in Votes,42
2019-04-02,WD 10 ALDERMAN,JOSEPH VOLLMER,699
2019-04-02,WD 10 ALDERMAN,Write-in Votes,44
2019-04-02,WD 12 ALDERMAN,LARRY ARNOWITZ,853
2019-04-02,WD 12 ALDERMAN,Write-in Votes,34
2019-04-02,WD 14 ALDERMAN,CAROL HOWARD,504
2019-04-02,WD 14 ALDERMAN,Write-in Votes,56
2019-04-02,WD 16 ALDERMAN,THOMAS OLDENBURG,1033
2019-04-02,WD 16 ALDERMAN,Write-in Votes,44
2019-04-02,WD 18 ALDERMAN,JESSE TODD,521
2019-04-02,WD 18 ALDERMAN,Write-in Votes,24
2019-04-02,WD 20 ALDERMAN,CARA SPENCER,344
2019-04-02,WD 20 ALDERMAN,Write-in Votes,14
2019-04-02,WD 22 ALDERMAN,JEFFREY BOYD,434
2019-04-02,WD 22 ALDERMAN,Write-in Votes,24
2019-04-02,WD 24 ALDERMAN,BRET NARAYAN,842
2019-04-02,WD 24 ALDERMAN,STEVEN BASINGER,126
2019-04-02,WD 24 ALDERMAN,MICHAEL BERG,57
2019-04-02,WD 24 ALDERMAN,Write-in Votes,8
2019-04-02,WD 26 ALDERMAN,SHAMEEM HUBBARD,690
2019-04-02,WD 26 ALDERMAN,Write-in Votes,21
2019-04-02,WD 28 ALDERMAN,HEATHER NAVARRO,1013
2019-04-02,WD 28 ALDERMAN,Write-in Votes,25
2019-04-02,JR COLLEGE 3,PAULA SAVARINO,2340
2019-04-02,JR COLLEGE 3,ANNE MARSHALL,2725
2019-04-02,JR COLLEGE 3,Write-in Votes,67
2019-04-02,PROP S,YES,10097
2019-04-02,PROP S,NO,9599
