stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
3480,3480,PARK @ GRAND EB,FAR SIDE PARK @ GRAND EB,38.620557,-90.238201
3134,3134,WARSON @ GATEWAY SB,FAR SIDE WARSON @ GATEWAY SB,38.681070,-90.394833
1682,1682,BROADWAY @ LOCUST SB,NEAR SIDE BROADWAY @ LOCUST SB,38.628711,-90.188766
13188,13188,STATE @ 61ST STREET WB,FAR SIDE STATE @ 61ST STREET WB,38.603786,-90.090107
2113,2113,DELMAR @ NEWSTEAD EB,NEAR SIDE DELMAR @ NEWSTEAD EB,38.648881,-90.250748
4952,4952,MANCHESTER @ SUBLETTE WB,FAR SIDE MANCHESTER @ SUBLETTE WB,38.623373,-90.280998
4483,4483,BIG BEND @ GRANT WB,FAR SIDE BIG BEND @ GRANT WB,38.574095,-90.376066
5920,5920,NORTH HANLEY @ LIBERTY SB,FAR SIDE NORTH HANLEY @ LIBERTY SB,38.682094,-90.328888
5847,5847,SOUTH FLORISSANT @ BROTHERTON SB,FAR SIDE SOUTH FLORISSANT @ BROTHERTON SB,38.730727,-90.301882
6476,6476,BROADWAY @ BLOW SB,NEAR SIDE BROADWAY @ BLOW SB,38.551217,-90.253758
6288,6288,RIVERVIEW @ VIVIAN NB,NEAR SIDE RIVERVIEW @ VIVIAN NB,38.710860,-90.245108
8146,8146,TELEGRAPH @ KINSWOOD SB,FAR SIDE TELEGRAPH @ KINSWOOD SB,38.492164,-90.303660
7512,7512,BERMUDA @ ROSEDALE SB,NEAR SIDE BERMUDA @ ROSEDALE SB,38.712567,-90.299732
10345,10345,LINDBERGH @ COUNTY LIBRARY SB,FAR SIDE LINDBERGH @ COUNTY LIBRARY SB,38.629470,-90.405940
11359,11359,F STREET @ 5TH STREET WB,NEAR SIDE F STREET @ 5TH STREET WB,38.520056,-89.991052
11623,11623,ILLINOIS @ EMERALD TERRACE NB,NEAR SIDE ILLINOIS @ EMERALD TERRACE NB,38.547105,-89.983956
12232,12232,MAIN @ 66TH STREET WB,FAR SIDE MAIN @ 66TH STREET WB,38.554798,-90.040675
