route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
15202,2,2500604,TO ROCK ROAD TC,0,65302,98686
15202,3,2500649,TO ROCK ROAD TC,0,65302,98686
15202,1,2500500,TO ROCK ROAD TC VIA VALLEY IND,0,65309,98685
15202,2,2500585,TO ROCK ROAD TC,0,65301,98686
15202,1,2500504,TO ROCK ROAD TC,0,65310,98686
15202,3,2500642,TO ROCK ROAD TC,0,65306,98686
15202,2,2500582,TO ROCK ROAD TC,0,65303,98686
15202,3,2500645,TO ROCK ROAD TC,0,65302,98686
15202,3,2500658,TO ROCK ROAD TC,0,65305,98686
15202,1,2500540,TO NORTH HANLEY TC,1,65309,98689
15202,3,2500668,TO NORTH HANLEY TC,1,65304,98689
15202,3,2500686,TO NORTH HANLEY TC,1,65304,98689
15202,2,2500613,TO NORTH HANLEY TC,1,65303,98689
15202,1,2500570,TO DEPAUL HOSP ONLY,1,65311,98690
15202,1,2500575,TO DEPAUL HOSP ONLY,1,65306,98690
15202,2,2500608,TO NORTH HANLEY TC,1,65301,98689
15202,1,2500572,TO DEPAUL HOSP ONLY,1,65311,98690
15202,2,2500633,TO NORTH HANLEY TC,1,65305,98689
15202,3,2500669,TO NORTH HANLEY TC,1,65302,98689
15202,1,2500573,TO DEPAUL HOSP ONLY,1,65306,98690
15202,3,2500665,TO NORTH HANLEY TC,1,65302,98689
15202,2,2500611,TO NORTH HANLEY TC,1,65302,98689
15202,2,2500620,TO DEPAUL HOSP ONLY,1,65301,98690
15202,1,2500539,TO NORTH HANLEY TC,1,65308,98689
15239,2,2506563,MAIN ST STATE ST - TO BELLEVILLE STA VIA FAIRVIEW HGTS STA,1,69108,98860
15239,1,2506490,MAIN ST STATE ST - TO BELLEVILLE STA VIA FAIRVIEW HGTS STA,1,69105,98860
15239,1,2506489,MAIN ST STATE ST - TO BELLEVILLE STA VIA FAIRVIEW HGTS STA,1,69101,98860
15239,1,2506451,MAIN ST STATE ST - TO BELLEVILLE STA VIA FAIRVIEW HGTS STA,1,69106,98860
15239,2,2506557,MAIN ST STATE ST - TO BELLEVILLE STA VIA FAIRVIEW HGTS STA,1,69106,98860
15239,3,2506620,MAIN ST STATE ST - TO BELLEVILLE STA VIA FAIRVIEW HGTS STA,1,69102,98860
15239,2,2506551,MAIN ST STATE ST - TO BELLEVILLE STA VIA FAIRVIEW HGTS STA,1,69109,98860
15239,2,2506550,MAIN ST STATE ST - TO BELLEVILLE STA VIA FAIRVIEW HGTS STA,1,69110,98860
15239,3,2506617,MAIN ST STATE ST - TO BELLEVILLE STA VIA FAIRVIEW HGTS STA,1,69105,98860
15239,3,2506634,MAIN ST STATE ST - TO BELLEVILLE STA VIA FAIRVIEW HGTS STA,1,69110,98860
