date,ward,precinct,registered,polling,absentee,provisional,house,total
2014-11-04,01,01,995,268,20,0,0,288
2014-11-04,01,02,1112,292,31,0,0,323
2014-11-04,01,03,1270,319,34,2,1,356
2014-11-04,01,04,887,293,10,0,0,303
2014-11-04,01,05,1066,341,27,0,0,368
2014-11-04,01,06,1234,336,37,0,0,373
2014-11-04,01,07,126,34,3,0,0,37
2014-11-04,02,01,285,73,5,0,0,78
2014-11-04,02,02,285,48,2,0,0,50
2014-11-04,02,03,1119,299,16,0,0,315
2014-11-04,02,04,739,203,12,0,0,215
2014-11-04,02,05,1087,402,34,0,0,436
2014-11-04,02,06,13,1,1,0,0,2
2014-11-04,02,07,1057,410,40,0,0,450
2014-11-04,02,08,1338,331,17,0,0,348
2014-11-04,03,01,280,91,4,0,0,95
2014-11-04,03,02,906,302,18,0,0,320
2014-11-04,03,03,665,151,18,0,0,169
2014-11-04,03,04,843,196,7,0,0,203
2014-11-04,03,05,656,148,13,0,0,161
2014-11-04,03,06,781,178,16,0,0,194
2014-11-04,03,07,986,240,10,0,0,250
2014-11-04,03,08,585,145,10,0,0,155
2014-11-04,03,09,490,111,23,0,0,134
2014-11-04,04,01,713,183,33,0,0,216
2014-11-04,04,02,1639,395,26,0,0,421
2014-11-04,04,03,620,160,6,0,0,166
2014-11-04,04,04,960,272,18,0,0,290
2014-11-04,04,05,770,197,12,0,0,209
2014-11-04,04,06,559,118,8,0,0,126
2014-11-04,04,07,795,242,17,0,0,259
2014-11-04,04,08,177,43,3,0,0,46
2014-11-04,04,09,149,38,1,0,0,39
2014-11-04,04,10,240,65,4,0,0,69
2014-11-04,05,01,531,131,28,0,0,159
2014-11-04,05,02,556,133,7,0,0,140
2014-11-04,05,03,800,214,46,0,0,260
2014-11-04,05,04,492,147,7,0,0,154
2014-11-04,05,05,716,182,6,0,0,188
2014-11-04,05,06,951,228,27,10,1,266
2014-11-04,05,07,875,227,22,0,0,249
2014-11-04,05,08,404,61,16,0,0,77
2014-11-04,06,01,795,304,13,1,0,318
2014-11-04,06,02,735,334,16,0,0,350
