Ward,Precinct,Polling Place, Address, City, State, Zip, Latitude, Longitude,
1,1,Mathews Dickey Boys & Girls Club,4245 N. Kingshighway Blvd,St. Louis, MO,63115,"38.684084,",-90.248887,
1,2,Lexington Elementary School,5030 Lexington Ave.,St. Louis, MO,63115,"38.674439,",-90.254912,
1,3,New Sunny Mount Hunter's Hall,4638 W. Florissant Ave,St. Louis, MO,63115,"8.686334,",-90.232627,
1,4,New Sunny Mount Hunter's Hall,4638 W. Florissant Ave,St. Louis, MO,63115,"8.686334,",-90.232627,
1,5,Lexington Elementary School,5030 Lexington Ave.,St. Louis, MO,63115,"38.674531,",-90.254912,
1,6,Williams Temple,1500 N Union Blvd,St. Louis, MO,63113,"38.665779,",-90.267249,
1,7,Lexington Elementary School,5030 Lexington Ave,St. Louis, MO,63115,"38.674531,",-90.254912,
2,1,Jesus Is All Family Worship Center,1524 East Grand Ave,St. Louis, MO,63107,"38.670847,",-90.207212,
2,2,Our Lady of the Holy Cross,1022 Baden Ave,St. Louis, MO,63147,"38.710796,",-90.233207,
2,3,Baden Branch Library,8448 Church Rd,St. Louis, MO,63147,"38.714962,",-90.232706,
2,4,Our Lady of the Holy Cross,1022 Baden Ave.,St. Louis, MO,63147,"38.710796,",-90.233207,
2,5,Nance School,8959 Riverview Blvd.,St. Louis, MO,63147,"38.721601,",-90.241094,
2,6,Jesus Is All Family Worship Center,1524 East Grand Ave,St. Louis, MO,63107,"38.670847,",-90.207212,
2,7,Nance School,8959 Riverview Blvd,St. Louis, MO,63147,"38.721601,",-90.241094,
2,8,Nance School,8959 Riverview Blvd,St. Louis, MO,63147,"38.721601,",-90.241094,
3,1,Blewett School,1927 Cass Ave.,St. Louis, MO,63106,"38.643730,",-90.203555,
3,2,Fifth Missionary Baptist Church,3736 Natural Bridge Rd.,St. Louis, MO,63107,38.662513,Ê-90.219924,
3,3,Blewett School,1927 Cass Ave.,St. Louis, MO,63106,"38.643730,",-90.203555,
3,4,Clay Community Center,3820 14th St.,St. Louis, MO,63106,38.663364,-90.199317,
3,5,Bryan Hill School,2128 Gano Ave.,St. Louis, MO,63107,"38.671214,",-90.212549,
3,6,Fifth Missionary Baptist Church,3736 Natural Bridge Rd.,St. Louis, MO,63107,38.662513,Ê-90.219924,
3,7,Clay Community Center,3820 14th St.,St. Louis, MO,63106,38.663364,-90.199317,
3,8,Bryan Hill School,2128 Gano Ave.,St. Louis, MO,63107,"38.671214,",-90.212549,
3,9,Ames School,2900 Hadley St.,St. Louis, MO,63107,"38.652954,",-90.195384,
4,1,Newstead Missionary Baptist Church,4370 North Market St.,St. Louis, MO,63113,"38.659622,",-90.243393,
4,10,Newstead Missionary Baptist Church,4370 North Market St,St. Louis, MO,63113,"38.659622,",-90.243393,
4,2,Stanley & Clayton Rice Center,4145 W. Kennerly Ave.,St. Louis, MO,63113,"38.659485,",-90.233908,
4,3,Newstead Missionary Baptist Church,4370 North Market St.,St. Louis, MO,63113,"38.659622,",-90.243393,
4,4,Hickey School,3111 Cora Ave.,St. Louis, MO,63115,"38.669259,",-90.2452,
4,5,Stanley & Clayton Rice Center,4145 W. Kennerly Ave.,St. Louis, MO,63113,"38.659485,",-90.233908,
4,6,West Side Missionary Baptist Ch,4675 Page Blvd.,St. Louis, MO,63113,38.6452018,-90.2258543,
4,7,Hickey School,3111 Cora Ave.,St. Louis, MO,63115,"38.669259,",-90.2452,
4,8,West Side Missionary Baptist Ch,4675 Page Blvd.,St. Louis, MO,63113,38.6452018,-90.2258543,
4,9,West Side Missionary Baptist Ch,4675 Page Blvd.,St. Louis, MO,63113,38.6452018,-90.2258543,
5,1,Columbia School,3120 St Louis Ave.,St. Louis, MO,63106,38.653359,-90.21909332,
5,2,Columbia School,3120 St Louis Ave.,St. Louis, MO,63106,38.653359,-90.21909332,
5,3,Jefferson School,1301 Hogan Street,St. Louis, MO,63106,38.64090275,-90.20390319,
5,4,Bread Of Life Church,2001 North 11th Street,St. Louis, MO,63106,"38.646280,",-90.191357,
5,5,Jefferson School,1301 Hogan Street,St. Louis, MO,63106,38.64090275,-90.20390319,
5,6,Henry School,1220 N. 10th St.,St. Louis, MO,63106,38.63728895,-90.19130956,
5,7,Henry School,1220 N. 10th St.,St. Louis, MO,63106,38.63728895,-90.19130956,
5,8,Henry School,1220 N 10th St.,St. Louis, MO,63106,38.63728895,-90.19130956,
6,1,Barr Branch Library,1701 S. Jefferson Ave.,St. Louis, MO,63104,38.614659,-90.22104,
6,2,Berea Temple Assembly of God,3224 Russell Blvd,St. Louis, MO,63104,38.6121635,-90.233748,
6,3,Berea Temple Assembly of God,3224 Russell Blvd,St. Louis, MO,63104,38.6121635,-90.233748,
6,4,Hodgen School,1616 California Ave.,St. Louis, MO,63104,38.6166551,-90.22452232,
6,5,Heritage House Apartments,2800 Olive Street,St. Louis, MO,63103,38.633968,-90.218485,
6,6,Hodgen School,1616 California Ave.,St. Louis, MO,63104,38.6166551,-90.22452232,
6,7,Shenandoah School,3412 Shenandoah Ave.,St. Louis, MO,63103,38.60893895,-90.2371036,
6,8,Peabody School,1224 S. 14th St.,St. Louis, MO,63104,38.6168227,-90.20505105,
6,9,Shenandoah School,3412 Shenandoah Ave,St. Louis, MO,63103,38.60893895,-90.2371036,
7,1,Sigel School,2039 Russell Blvd.,St. Louis, MO,63104,"38.610363,",-90.216648,
7,2,Sigel School,2039 Russell Blvd.,St. Louis, MO,63104,"38.610363,",-90.216648,
7,3,Sigel School,2039 Russell Blvd.,St. Louis, MO,63104,"38.610363,",-90.216648,
7,4,Central Library,1301 Olive St.,St. Louis, MO,63101,38.6307376,-90.19947022,
7,5,St. Vincent's Church (hall),1408 S. 10th St.,St. Louis, MO,63104,38.6134188,-90.20102524,
7,6,MCC of Greater St Louis,1920 South 7th St.,St. Louis, MO,63104,"38.607035,",-90.201989,
8,1,Kingshighway Branch Library,2260 S. Vandeventer Ave.,St. Louis, MO,63110,38.61282965,-90.26694686,
8,2,Kingshighway Branch Library,2260 S. Vandeventer Ave.,St. Louis, MO,63110,38.61282965,-90.26694686,
